"STATION","DATE","TAVG","TMIN","TMAX","PRCP","Tonnes","kgha"
"Dom_Rep",2007-06-01,27.51,22.1,32.93,215.747344110854,42154.31,275.1
"Dom_Rep",2007-09-01,28.1,22.49,33.7,215.747344110854,42154.31,275.1
"Dom_Rep",2007-04-01,25.17,20.44,29.9,215.747344110854,42154.31,275.1
"Dom_Rep",2007-01-01,24.71,19.59,29.82,215.747344110854,42154.31,275.1
"Dom_Rep",2007-11-01,26.06,21.46,30.66,215.747344110854,42154.31,275.1
"Dom_Rep",2007-10-01,27.56,22.46,32.66,215.747344110854,42154.31,275.1
"Dom_Rep",2007-12-01,24.95,20.23,29.67,215.747344110854,42154.31,275.1
"Dom_Rep",2007-05-01,26.74,21.58,31.91,215.747344110854,42154.31,275.1
"Dom_Rep",2007-07-01,27.86,22.87,32.86,215.747344110854,42154.31,275.1
"Dom_Rep",2008-12-01,24.57,19.84,29.31,63.2,45291,295.6
"Dom_Rep",2008-07-01,27.39,22.46,32.31,215.747344110854,45291,295.6
"Dom_Rep",2008-06-01,26.79,21.78,31.81,215.747344110854,45291,295.6
"Dom_Rep",2008-02-01,24.48,19.47,29.49,215.747344110854,45291,295.6
"Dom_Rep",2008-05-01,26.21,20.95,31.46,215.747344110854,45291,295.6
"Dom_Rep",2008-04-01,25.37,20.26,30.47,215.747344110854,45291,295.6
"Dom_Rep",2008-08-01,28.2,23.25,33.14,215.747344110854,45291,295.6
"Dom_Rep",2008-09-01,27.4,22.8,32,215.747344110854,45291,295.6
"Dom_Rep",2008-01-01,23.75,18.75,28.75,215.747344110854,45291,295.6
"Dom_Rep",2008-10-01,26.69,21.8,31.59,215.747344110854,45291,295.6
"Dom_Rep",2009-12-01,25.76,21.07,30.45,215.747344110854,54994,358.9
"Dom_Rep",2009-06-01,27.08,22.2,31.97,215.747344110854,54994,358.9
"Dom_Rep",2009-05-01,25.83,21.01,30.66,215.747344110854,54994,358.9
"Dom_Rep",2009-10-01,27.81,22.73,32.9,215.747344110854,54994,358.9
